download,upload,ping,share,timestamp,client_ip,client_isp
11507005.176682593,3056803.0168856275,8.64,http://www.speedtest.net/result/8082768579.png,2019-03-02T20:26:37.355698Z,82.124.21.205,Orange
6988611.698011053,1836208.661792126,8.021,http://www.speedtest.net/result/8082770214.png,2019-03-02T20:27:37.651933Z,82.124.21.205,Orange
46476936.34067372,65746737.55716478,7.468,http://www.speedtest.net/result/8082782657.png,2019-03-02T20:34:48.675207Z,82.124.21.205,Orange
71376257.7544737,7693806.841712959,5.973,http://www.speedtest.net/result/8082792459.png,2019-03-02T20:40:29.203833Z,82.124.21.205,Orange
24849436.865837224,52841952.34513126,6.884,http://www.speedtest.net/result/8083099340.png,2019-03-03T00:19:47.467456Z,82.124.21.205,Orange
47010083.69453125,64520410.00845041,6.595,http://www.speedtest.net/result/8083104429.png,2019-03-03T00:24:14.777609Z,82.124.21.205,Orange
13085701.42310291,4072761.6884606373,8.798,http://www.speedtest.net/result/8083740815.png,2019-03-03T09:12:57.831431Z,82.124.21.205,Orange
69504639.66054738,10074565.19171154,8.629,http://www.speedtest.net/result/8083914393.png,2019-03-03T11:06:33.311089Z,82.124.21.205,Orange
107938293.11643855,20369792.60449265,8.14,http://www.speedtest.net/result/8083916046.png,2019-03-03T11:07:37.728704Z,82.124.21.205,Orange
114038805.37425339,11925925.667199304,9.102,http://www.speedtest.net/result/8084091376.png,2019-03-03T12:56:25.054854Z,82.124.21.205,Orange
14277869.99962095,2056396.1654404704,8.932,http://www.speedtest.net/result/8084888633.png,2019-03-03T20:12:19.714373Z,82.124.21.205,Orange
5954086.039441532,15402938.671463447,119.619,http://www.speedtest.net/result/8086061926.png,2019-03-04T10:17:49.966712Z,163.5.220.10,Epitech
63726940.98836652,85809666.11132762,6.835,http://www.speedtest.net/result/8089826164.png,2019-03-05T18:44:45.052502Z,82.124.21.205,Orange
68891077.60628887,45434861.60739053,15.317,http://www.speedtest.net/result/8100573015.png,2019-03-09T22:36:39.649125Z,82.124.21.205,Orange
